index,crop,cultivar,location,year,environment,observation,Reference
1,sorghum,28,3,3,8,224,Adugna2008Assessment
2,corn,60,9,1,9,540,Darrah1996White
3,soybean,58,4,2,8,464,Basford1999Graphical
4,wheat,264,8,1,8,2112,Belamkar2018Genomic
5,corn,64,6,1,6,384,Besag2002Bayesian
6,wheat,29,18,1,18,522,Buntaran2020Cross
7,maize,49,3,2,5,245,Butron2004Yield
8,corn,20,7,1,7,140,Corsten1990Structuring
9,wheat,18,25,1,25,450,Crossa1991AMMI
10,maize,55,9,1,9,495,daSilva2015Bayesian
11,oat,17,5,7,34,578,Edwards2006Bayesian
12,maize,13,10,2,20,260,Fan2007Yield
13,wheat,22,14,1,14,308,Fox1981Relationships
14,wheat,14,7,1,7,98,George2019Quantifying
15,wheat,20,10,1,10,200,huhn1979determination
16,maize,17,4,3,12,204,kang1989Genotype
17,barley,33,12,1,12,396,Lin1985Procedural
18,sorghum,18,2,3,6,108,omer2015bayesian
19,tomato,15,16,1,16,240,Ortiz2007Studying
20,soybean,18,3,4,11,198,pacheco2005use
21,wheat,28,5,3,14,392,perry1989yield
22,oat,13,2,3,6,78,shaw1936handbook
23,barley,152,16,1,16,2432,hayes1993quantitative
24,millet,11,2,4,7,77,tesfaye2023evaluation
25,wheat,18,9,1,9,162,yan2002gge
26,maize,107,6,1,6,642,g2f
27,maize,29,10,1,10,290,
28,maize,39,27,1,27,1053,
29,maize,85,17,1,17,1445,
30,maize,35,27,1,27,945,
31,maize,68,15,1,15,1020,
32,maize,81,12,1,12,972,
33,maize,61,22,1,22,1342,
34,maize,13,29,1,29,377,
35,maize,31,9,1,9,279,
36,maize,318,10,1,10,3180,
37,maize,192,14,1,14,2688,
38,maize,347,11,1,11,3817,
39,maize,160,16,1,16,2560,
40,maize,21,25,1,25,525,
41,maize,189,27,1,27,5103,
42,maize,17,32,2,54,918,
43,maize,29,17,2,33,957,
44,maize,81,11,2,18,1458,
45,maize,53,11,2,19,1007,
46,maize,13,29,2,45,585,
47,maize,296,13,2,21,6216,
48,maize,318,11,2,13,4134,
49,maize,140,17,2,30,4200,
50,maize,192,16,2,24,4608,
51,maize,70,11,2,21,1470,
52,maize,56,11,3,23,1288,
53,maize,13,31,3,61,793,
